Row,CH1 Time (ms),CH1 Peak (cm/s),CH1 Dias (cm/s),CH1 Mean (cm/s),CH1 Emboli Per Min,CH1 Emboli Count,CH1 Depth,CH1 Sample,CH1 Power,CH1 Vessel,CH1 Time,CH1 Date,CH1 Messages,CH2 Time (ms),CH2 Peak (cm/s),CH2 Dias (cm/s),CH2 Mean (cm/s),CH2 Emboli Per Min,CH2 Emboli Count,CH2 Depth,CH2 Sample,CH2 Power,CH2 Vessel,CH2 Time,CH2 Date,CH2 Messages
62,61008,0,0,0,2,2,50,9,90,       ,8:29:23 AM,8/7/2015,,62000,149,0,32,3,3,50,9,90,       ,8:29:24 AM,8/7/2015,
63,62008,0,0,0,2,2,50,9,90,       ,8:29:24 AM,8/7/2015,,63000,149,0,32,3,3,50,9,90,       ,8:29:25 AM,8/7/2015,
64,63008,0,0,0,2,2,50,9,90,       ,8:29:25 AM,8/7/2015,,64000,0,0,0,3,3,50,9,90,       ,8:29:26 AM,8/7/2015,
65,64008,0,0,0,2,2,50,9,90,       ,8:29:26 AM,8/7/2015,,65000,0,0,0,3,3,50,9,90,       ,8:29:27 AM,8/7/2015,
66,65008,0,0,0,2,2,50,9,90,       ,8:29:27 AM,8/7/2015,,66000,0,0,0,3,3,50,9,90,       ,8:29:28 AM,8/7/2015,
67,66008,0,0,0,2,2,50,9,90,       ,8:29:28 AM,8/7/2015,,67000,0,0,0,3,3,50,9,90,       ,8:29:29 AM,8/7/2015,
68,67008,0,0,0,2,2,50,9,90,       ,8:29:29 AM,8/7/2015,,68000,0,0,0,4,4,50,9,90,       ,8:29:30 AM,8/7/2015,
69,68008,0,0,0,3,3,50,9,90,       ,8:29:30 AM,8/7/2015,,69000,0,0,0,4,4,50,9,90,       ,8:29:31 AM,8/7/2015,
70,69008,37,17,21,3,3,50,9,90,       ,8:29:31 AM,8/7/2015,,70000,0,0,0,4,4,50,9,90,       ,8:29:32 AM,8/7/2015,
71,70008,37,17,21,3,3,50,9,90,       ,8:29:32 AM,8/7/2015,,71000,0,0,0,4,4,50,9,90,       ,8:29:33 AM,8/7/2015,
72,71008,37,17,21,3,3,50,9,90,       ,8:29:33 AM,8/7/2015,,72000,0,0,0,4,4,50,9,90,       ,8:29:34 AM,8/7/2015,
73,72008,38,22,26,3,3,50,9,90,       ,8:29:34 AM,8/7/2015,,73000,0,0,0,4,4,50,9,90,       ,8:29:35 AM,8/7/2015,
74,73008,36,22,27,3,3,50,9,90,       ,8:29:35 AM,8/7/2015,,74000,0,0,0,4,4,50,9,90,       ,8:29:36 AM,8/7/2015,
75,74008,38,22,29,3,3,50,9,90,       ,8:29:36 AM,8/7/2015,,75000,0,0,0,4,4,50,9,90,       ,8:29:37 AM,8/7/2015,
76,75008,40,22,29,3,3,50,9,90,       ,8:29:37 AM,8/7/2015,,76000,0,0,0,4,4,50,9,90,       ,8:29:38 AM,8/7/2015,
77,76008,39,21,29,3,3,50,9,90,       ,8:29:38 AM,8/7/2015,,77000,0,0,0,4,4,50,9,90,       ,8:29:39 AM,8/7/2015,
78,77008,42,20,28,3,3,50,9,90,       ,8:29:39 AM,8/7/2015,,78000,0,0,0,4,4,50,9,90,       ,8:29:40 AM,8/7/2015,
79,78008,48,19,28,3,3,50,9,90,       ,8:29:40 AM,8/7/2015,,79000,0,0,0,4,4,50,9,90,       ,8:29:41 AM,8/7/2015,
80,79008,66,16,27,3,3,50,9,90,       ,8:29:41 AM,8/7/2015,,80000,0,0,0,4,4,50,9,90,       ,8:29:42 AM,8/7/2015,
81,80008,66,16,27,3,3,50,9,90,       ,8:29:42 AM,8/7/2015,,81000,0,0,0,5,5,50,9,90,       ,8:29:43 AM,8/7/2015,
82,81008,66,16,27,3,3,50,9,90,       ,8:29:43 AM,8/7/2015,,82000,0,0,0,4,5,50,9,90,       ,8:29:44 AM,8/7/2015,
83,82008,66,16,27,1,3,50,9,90,       ,8:29:44 AM,8/7/2015,,83000,0,0,0,4,5,50,9,90,       ,8:29:45 AM,8/7/2015,
84,83008,66,16,27,1,3,50,9,90,       ,8:29:45 AM,8/7/2015,,84000,37,22,28,4,5,50,9,90,       ,8:29:46 AM,8/7/2015,
85,84008,66,16,27,1,3,50,9,90,       ,8:29:46 AM,8/7/2015,,85000,37,22,28,4,5,50,9,90,       ,8:29:47 AM,8/7/2015,
86,85008,66,16,27,1,3,50,9,90,       ,8:29:47 AM,8/7/2015,,86000,36,21,27,4,5,50,9,90,       ,8:29:48 AM,8/7/2015,
87,86008,110,12,44,1,3,50,9,90,       ,8:29:48 AM,8/7/2015,,87000,36,19,26,4,5,50,9,90,       ,8:29:49 AM,8/7/2015,
88,87008,110,12,44,1,3,50,9,90,       ,8:29:49 AM,8/7/2015,,88000,36,18,26,4,5,50,9,90,       ,8:29:50 AM,8/7/2015,
89,88008,110,12,44,1,3,50,9,90,       ,8:29:50 AM,8/7/2015,,89000,36,17,27,4,5,50,9,90,       ,8:29:51 AM,8/7/2015,
90,89008,110,12,44,1,3,50,9,90,       ,8:29:51 AM,8/7/2015,,90000,37,17,27,4,5,50,9,90,       ,8:29:52 AM,8/7/2015,
91,90008,111,11,42,1,3,50,9,90,       ,8:29:52 AM,8/7/2015,,91000,40,16,27,4,5,50,9,90,       ,8:29:53 AM,8/7/2015,
92,91008,122,10,38,1,3,50,9,90,       ,8:29:53 AM,8/7/2015,,92000,45,16,26,4,5,50,9,90,       ,8:29:54 AM,8/7/2015,
93,92008,124,10,41,1,3,50,9,90,       ,8:29:54 AM,8/7/2015,,93000,45,16,26,4,5,50,9,90,       ,8:29:55 AM,8/7/2015,
94,93008,126,11,39,1,3,50,9,90,       ,8:29:55 AM,8/7/2015,,94000,50,19,29,4,5,50,9,90,       ,8:29:56 AM,8/7/2015,
95,94008,125,11,39,1,3,50,9,90,       ,8:29:56 AM,8/7/2015,,95000,53,19,30,4,5,50,9,90,       ,8:29:57 AM,8/7/2015,
96,95008,125,11,39,1,3,50,9,90,       ,8:29:57 AM,8/7/2015,,96000,69,18,33,4,5,50,9,90,       ,8:29:58 AM,8/7/2015,
97,96008,125,11,39,1,3,50,9,90,       ,8:29:58 AM,8/7/2015,,97000,78,22,38,4,5,50,9,90,       ,8:29:59 AM,8/7/2015,
98,97008,125,11,39,1,3,50,9,90,       ,8:29:59 AM,8/7/2015,,98000,84,22,40,4,5,50,9,90,       ,8:30:00 AM,8/7/2015,
99,98008,119,24,36,1,3,50,9,90,       ,8:30:00 AM,8/7/2015,,99000,87,22,42,4,5,50,9,90,       ,8:30:01 AM,8/7/2015,
100,99008,119,24,36,1,3,50,9,90,       ,8:30:01 AM,8/7/2015,,100000,87,22,42,4,5,50,9,90,       ,8:30:02 AM,8/7/2015,
101,100008,119,24,36,1,3,50,9,90,       ,8:30:02 AM,8/7/2015,,101000,87,22,42,4,5,50,9,90,       ,8:30:03 AM,8/7/2015,
102,101008,110,31,49,1,3,50,9,90,       ,8:30:03 AM,8/7/2015,,102000,87,22,42,4,5,50,9,90,       ,8:30:04 AM,8/7/2015,
103,102008,107,33,54,1,3,50,9,90,       ,8:30:04 AM,8/7/2015,,103000,85,28,50,4,5,50,9,90,       ,8:30:05 AM,8/7/2015,
104,103008,99,33,61,1,3,50,9,90,       ,8:30:05 AM,8/7/2015,,104000,85,23,49,4,5,50,9,90,       ,8:30:06 AM,8/7/2015,
105,104008,99,32,60,2,4,50,9,90,       ,8:30:06 AM,8/7/2015,,105000,84,21,44,4,5,50,9,90,       ,8:30:07 AM,8/7/2015,
106,105008,95,28,56,2,4,50,9,90,       ,8:30:07 AM,8/7/2015,,106000,84,21,44,4,5,50,9,90,       ,8:30:08 AM,8/7/2015,
107,106008,94,29,55,2,4,50,9,90,       ,8:30:08 AM,8/7/2015,,107000,84,21,44,4,5,50,9,90,       ,8:30:09 AM,8/7/2015,
108,107008,94,25,54,2,4,50,9,90,       ,8:30:09 AM,8/7/2015,,108000,84,21,44,4,5,50,9,90,       ,8:30:10 AM,8/7/2015,
109,108008,94,28,54,2,4,50,9,90,       ,8:30:10 AM,8/7/2015,,109000,76,20,30,4,5,50,9,90,       ,8:30:11 AM,8/7/2015,
110,109008,94,26,53,2,4,50,9,90,       ,8:30:11 AM,8/7/2015,,110000,58,21,31,4,5,50,9,90,       ,8:30:12 AM,8/7/2015,
111,110008,96,27,53,2,4,50,9,90,       ,8:30:12 AM,8/7/2015,,111000,58,21,31,4,5,50,9,90,       ,8:30:13 AM,8/7/2015,
112,111008,95,27,52,2,4,50,9,90,       ,8:30:13 AM,8/7/2015,,112000,56,18,29,4,5,50,9,90,       ,8:30:14 AM,8/7/2015,
113,112008,94,26,51,2,4,50,9,90,       ,8:30:14 AM,8/7/2015,,113000,50,16,28,4,5,50,9,90,       ,8:30:15 AM,8/7/2015,
114,113008,93,30,53,2,4,50,9,90,       ,8:30:15 AM,8/7/2015,,114000,50,16,28,4,5,50,9,90,       ,8:30:16 AM,8/7/2015,
115,114008,94,31,54,2,4,50,9,90,       ,8:30:16 AM,8/7/2015,,115000,77,19,35,3,5,50,9,90,       ,8:30:17 AM,8/7/2015,
116,115008,95,35,58,2,4,50,9,90,       ,8:30:17 AM,8/7/2015,,116000,88,24,44,3,5,50,9,90,       ,8:30:18 AM,8/7/2015,
117,116008,96,35,59,2,4,50,9,90,       ,8:30:18 AM,8/7/2015,,117000,91,28,48,3,5,50,9,90,       ,8:30:19 AM,8/7/2015,
118,117008,96,35,59,2,4,50,9,90,       ,8:30:19 AM,8/7/2015,,118000,104,32,56,3,5,50,9,90,       ,8:30:20 AM,8/7/2015,
119,118008,96,36,59,2,4,50,9,90,       ,8:30:20 AM,8/7/2015,,119000,104,35,62,2,5,50,9,90,       ,8:30:21 AM,8/7/2015,
120,119008,96,36,60,2,4,50,9,90,       ,8:30:21 AM,8/7/2015,,120000,99,36,61,2,5,50,9,90,       ,8:30:22 AM,8/7/2015,
121,120008,92,36,60,2,4,50,9,90,       ,8:30:22 AM,8/7/2015,,121000,97,34,59,2,5,50,9,90,       ,8:30:23 AM,8/7/2015,
122,121008,92,37,59,2,4,50,9,90,       ,8:30:23 AM,8/7/2015,,122000,93,33,58,2,5,50,9,90,       ,8:30:24 AM,8/7/2015,
123,122008,91,35,57,2,4,50,9,90,       ,8:30:24 AM,8/7/2015,,123000,91,32,56,2,5,50,9,90,       ,8:30:25 AM,8/7/2015,
124,123008,91,35,57,2,4,50,9,90,       ,8:30:25 AM,8/7/2015,,124000,92,32,55,2,5,50,9,90,       ,8:30:26 AM,8/7/2015,
125,124008,91,34,56,2,4,50,9,90,       ,8:30:26 AM,8/7/2015,,125000,91,32,55,2,5,50,9,90,       ,8:30:27 AM,8/7/2015,
126,125008,92,35,55,2,4,50,9,90,       ,8:30:27 AM,8/7/2015,,126000,93,32,56,2,5,50,9,90,       ,8:30:28 AM,8/7/2015,
127,126008,94,35,56,2,4,50,9,90,       ,8:30:28 AM,8/7/2015,,127000,95,33,57,2,5,50,9,90,       ,8:30:29 AM,8/7/2015,
128,127008,95,35,57,2,4,50,9,90,       ,8:30:29 AM,8/7/2015,,128000,95,34,58,1,5,50,9,90,       ,8:30:30 AM,8/7/2015,
129,128008,96,36,58,1,4,50,9,90,       ,8:30:30 AM,8/7/2015,,129000,94,34,58,1,5,50,9,90,       ,8:30:31 AM,8/7/2015,
130,129008,97,36,59,1,4,50,9,90,       ,8:30:31 AM,8/7/2015,,130000,94,34,58,1,5,50,9,90,       ,8:30:32 AM,8/7/2015,
131,130008,96,35,59,1,4,50,9,90,       ,8:30:32 AM,8/7/2015,,131000,93,35,59,1,5,50,9,90,       ,8:30:33 AM,8/7/2015,
132,131008,93,36,59,1,4,50,9,90,       ,8:30:33 AM,8/7/2015,,132000,93,36,59,1,5,50,9,90,       ,8:30:34 AM,8/7/2015,
133,132008,95,34,56,1,4,50,9,90,       ,8:30:34 AM,8/7/2015,,133000,94,36,59,1,5,50,9,90,       ,8:30:35 AM,8/7/2015,
134,133008,96,37,60,1,4,50,9,90,       ,8:30:35 AM,8/7/2015,,134000,94,36,59,1,5,50,9,90,       ,8:30:36 AM,8/7/2015,
135,134008,102,40,60,1,4,50,9,90,       ,8:30:36 AM,8/7/2015,,135000,95,35,59,1,5,50,9,90,       ,8:30:37 AM,8/7/2015,
136,135008,111,38,60,1,4,50,9,90,       ,8:30:37 AM,8/7/2015,,136000,94,35,58,1,5,50,9,90,       ,8:30:38 AM,8/7/2015,
137,136008,122,42,66,1,4,50,9,90,       ,8:30:38 AM,8/7/2015,,137000,93,34,58,1,5,50,9,90,       ,8:30:39 AM,8/7/2015,
138,137008,121,42,70,1,4,50,9,90,       ,8:30:39 AM,8/7/2015,,138000,91,34,56,1,5,50,9,90,       ,8:30:40 AM,8/7/2015,
139,138008,128,41,74,1,4,50,9,90,       ,8:30:40 AM,8/7/2015,,139000,90,34,56,1,5,50,9,90,       ,8:30:41 AM,8/7/2015,
140,139008,128,37,77,1,4,50,9,90,       ,8:30:41 AM,8/7/2015,,140000,90,34,56,1,5,50,9,90,       ,8:30:42 AM,8/7/2015,
141,140008,128,38,78,1,4,50,9,90,       ,8:30:42 AM,8/7/2015,,141000,92,35,57,0,5,50,9,90,       ,8:30:43 AM,8/7/2015,
142,141008,123,30,67,1,4,50,9,90,       ,8:30:43 AM,8/7/2015,,142000,93,36,59,0,5,50,9,90,       ,8:30:44 AM,8/7/2015,
143,142008,117,21,54,1,4,50,9,90,       ,8:30:44 AM,8/7/2015,,143000,94,37,60,0,5,50,9,90,       ,8:30:45 AM,8/7/2015,
144,143008,113,21,54,1,4,50,9,90,       ,8:30:45 AM,8/7/2015,,144000,95,37,61,0,5,50,9,90,       ,8:30:46 AM,8/7/2015,
145,144008,114,29,56,1,4,50,9,90,       ,8:30:46 AM,8/7/2015,,145000,96,37,62,0,5,50,9,90,       ,8:30:47 AM,8/7/2015,
146,145008,114,30,54,1,4,50,9,90,       ,8:30:47 AM,8/7/2015,,146000,97,38,63,0,5,50,9,90,       ,8:30:48 AM,8/7/2015,
147,146008,127,47,72,1,4,50,9,90,       ,8:30:48 AM,8/7/2015,,147000,97,38,62,0,5,50,9,90,       ,8:30:49 AM,8/7/2015,
148,147008,134,54,75,1,4,50,9,90,       ,8:30:49 AM,8/7/2015,,148000,96,38,62,0,5,50,9,90,       ,8:30:50 AM,8/7/2015,
149,148008,135,53,74,1,4,50,9,90,       ,8:30:50 AM,8/7/2015,,149000,96,38,61,0,5,50,9,90,       ,8:30:51 AM,8/7/2015,
150,149008,135,52,72,1,4,50,9,90,       ,8:30:51 AM,8/7/2015,,150000,95,37,61,0,5,50,9,90,       ,8:30:52 AM,8/7/2015,
151,150008,134,51,78,1,4,50,9,90,       ,8:30:52 AM,8/7/2015,,151000,95,37,61,0,5,50,9,90,       ,8:30:53 AM,8/7/2015,
152,151008,135,51,78,1,4,50,9,90,       ,8:30:53 AM,8/7/2015,,152000,95,37,61,0,5,50,9,90,       ,8:30:54 AM,8/7/2015,
153,152008,135,50,81,1,4,50,9,90,       ,8:30:54 AM,8/7/2015,,153000,96,36,60,0,5,50,9,90,       ,8:30:55 AM,8/7/2015,
154,153008,136,50,85,1,4,50,9,90,       ,8:30:55 AM,8/7/2015,,154000,96,36,61,0,5,50,9,90,       ,8:30:56 AM,8/7/2015,
155,154008,136,50,86,1,4,50,9,90,       ,8:30:56 AM,8/7/2015,,155000,96,36,61,0,5,50,9,90,       ,8:30:57 AM,8/7/2015,
156,155008,137,50,86,1,4,50,9,90,       ,8:30:57 AM,8/7/2015,,156000,97,36,61,0,5,50,9,90,       ,8:30:58 AM,8/7/2015,
157,156008,139,50,86,1,4,50,9,90,       ,8:30:58 AM,8/7/2015,,157000,96,36,61,0,5,50,9,90,       ,8:30:59 AM,8/7/2015,
158,157008,138,50,87,1,4,50,9,90,       ,8:30:59 AM,8/7/2015,,158000,96,36,61,0,5,50,9,90,       ,8:31:00 AM,8/7/2015,
159,158008,139,50,87,1,4,50,9,90,       ,8:31:00 AM,8/7/2015,,159000,96,37,61,0,5,50,9,90,       ,8:31:01 AM,8/7/2015,
160,159008,138,51,88,1,4,50,9,90,       ,8:31:01 AM,8/7/2015,,160000,96,36,61,0,5,50,9,90,       ,8:31:02 AM,8/7/2015,
161,160008,138,51,87,1,4,50,9,90,       ,8:31:02 AM,8/7/2015,,161000,97,37,61,0,5,50,9,90,       ,8:31:03 AM,8/7/2015,
162,161008,136,52,88,1,4,50,9,90,       ,8:31:03 AM,8/7/2015,,162000,97,37,62,0,5,50,9,90,       ,8:31:04 AM,8/7/2015,
163,162008,137,52,87,1,4,50,9,90,       ,8:31:04 AM,8/7/2015,,163000,97,37,62,0,5,50,9,90,       ,8:31:05 AM,8/7/2015,
164,163008,138,52,88,1,4,50,9,90,       ,8:31:05 AM,8/7/2015,,164000,97,38,63,0,5,50,9,90,       ,8:31:06 AM,8/7/2015,
165,164008,137,52,88,0,4,50,9,90,       ,8:31:06 AM,8/7/2015,,165000,97,38,62,0,5,50,9,90,       ,8:31:07 AM,8/7/2015,
166,165008,137,52,88,0,4,50,9,90,       ,8:31:07 AM,8/7/2015,,166000,96,39,63,0,5,50,9,90,       ,8:31:08 AM,8/7/2015,
167,166008,136,53,87,0,4,50,9,90,       ,8:31:08 AM,8/7/2015,,167000,96,38,63,0,5,50,9,90,       ,8:31:09 AM,8/7/2015,
168,167008,136,53,86,0,4,50,9,90,       ,8:31:09 AM,8/7/2015,,168000,96,39,63,0,5,50,9,90,       ,8:31:10 AM,8/7/2015,
